layer,metric,attack,rho,pval,n,family,q_per_attack,q_per_family,q_global,sig_per_attack,sig_per_family,sig_global
10,Reg_MeanCos,MIA_MinK,-0.0167,0.9661,9,entropy,0.9828,0.9809,0.9916,,,
10,Reg_MeanCos,MIA_Ref,0.0500,0.8984,9,entropy,0.9821,1.0000,0.9907,,,
10,Reg_MeanCos,MIA_Hidden,-0.1833,0.6368,9,entropy,0.9958,0.9847,0.9786,,,
10,Reg_MeanCos,SPV_MIA,-0.8333,0.0053,9,entropy,0.0282,0.0236,0.0809,*,*,
10,Reg_MeanL2,Steering,-0.3022,0.3156,13,entropy,0.9873,0.9858,0.8094,,,
10,Reg_MeanL2,ICL,0.2963,0.3256,13,entropy,0.4036,0.4830,0.8163,,,
10,Reg_MeanL2,GCG,-0.0829,0.7877,13,entropy,0.9451,0.9080,0.9786,,,
10,Reg_MeanL2,MIA,-0.0659,0.8305,13,entropy,0.9988,0.9252,0.9786,,,
10,Reg_MeanL2,MIA_MinK,0.6667,0.0499,9,entropy,0.6582,0.4876,0.2877,,,
10,Reg_MeanL2,MIA_Ref,0.3167,0.4064,9,entropy,0.9785,0.9794,0.8709,,,
10,Reg_MeanL2,MIA_Hidden,-0.5333,0.1392,9,entropy,0.8354,0.4901,0.5195,,,
10,Reg_MeanL2,SPV_MIA,0.4167,0.2646,9,entropy,0.3441,0.3902,0.7422,,,
10,AnonDiff_S_alpha_2,Steering,0.1099,0.7208,13,entropy,0.9873,0.9858,0.9786,,,
10,AnonDiff_S_alpha_2,ICL,-0.6631,0.0135,13,entropy,0.0342,0.0787,0.1368,*,,
10,AnonDiff_S_alpha_2,GCG,-0.3541,0.2353,13,entropy,0.5531,0.4890,0.7043,,,
10,AnonDiff_S_alpha_2,MIA,0.1538,0.6158,13,entropy,0.9988,0.8294,0.9786,,,
10,AnonDiff_S_alpha_2,MIA_MinK,-0.2333,0.5457,9,entropy,0.9822,0.9120,0.9522,,,
10,AnonDiff_S_alpha_2,MIA_Ref,-0.3500,0.3558,9,entropy,0.9785,0.9794,0.8276,,,
10,AnonDiff_S_alpha_2,MIA_Hidden,0.2500,0.5165,9,entropy,0.9958,0.9847,0.9373,,,
10,AnonDiff_S_alpha_2,SPV_MIA,0.7500,0.0199,9,entropy,0.0560,0.0450,0.1709,,*,
10,AnonDiff_MeanCos,Steering,0.0055,0.9858,13,entropy,0.9877,0.9858,0.9974,,,
10,AnonDiff_MeanCos,ICL,0.7930,0.0012,13,entropy,0.0112,0.0269,0.0464,*,*,*
10,AnonDiff_MeanCos,GCG,0.4306,0.1418,13,entropy,0.4027,0.3344,0.5261,,,
10,AnonDiff_MeanCos,MIA,-0.1813,0.5533,13,entropy,0.9988,0.7939,0.9522,,,
10,AnonDiff_MeanCos,MIA_MinK,0.0000,1.0000,9,entropy,1.0000,1.0000,1.0000,,,
10,AnonDiff_MeanCos,MIA_Ref,0.4333,0.2440,9,entropy,0.9785,0.9794,0.7231,,,
10,AnonDiff_MeanCos,MIA_Hidden,-0.0500,0.8984,9,entropy,0.9958,0.9847,0.9907,,,
10,AnonDiff_MeanCos,SPV_MIA,-0.8000,0.0096,9,entropy,0.0379,0.0318,0.1182,*,*,
10,AnonDiff_MeanL2,Steering,-0.1154,0.7074,13,entropy,0.9873,0.9858,0.9786,,,
10,AnonDiff_MeanL2,ICL,0.3810,0.1991,13,entropy,0.2589,0.3264,0.6443,,,
10,AnonDiff_MeanL2,GCG,0.1467,0.6324,13,entropy,0.9451,0.8674,0.9786,,,
10,AnonDiff_MeanL2,MIA,-0.3571,0.2309,13,entropy,0.9988,0.7011,0.6972,,,
10,AnonDiff_MeanL2,MIA_MinK,0.4500,0.2242,9,entropy,0.9822,0.9120,0.6833,,,
10,AnonDiff_MeanL2,MIA_Ref,-0.1333,0.7324,9,entropy,0.9821,0.9885,0.9786,,,
10,AnonDiff_MeanL2,MIA_Hidden,-0.6667,0.0499,9,entropy,0.6422,0.3761,0.2877,,,
10,AnonDiff_MeanL2,SPV_MIA,-0.1833,0.6368,9,entropy,0.7064,0.7154,0.9786,,,
10,NormAnonDiff_S_alpha_2,Steering,0.0824,0.7890,13,entropy,0.9873,0.9858,0.9786,,,
10,NormAnonDiff_S_alpha_2,ICL,-0.6011,0.0298,13,entropy,0.0562,0.0937,0.2128,,,
10,NormAnonDiff_S_alpha_2,GCG,-0.2616,0.3880,13,entropy,0.7941,0.7265,0.8603,,,
10,NormAnonDiff_S_alpha_2,MIA,0.2363,0.4371,13,entropy,0.9988,0.7484,0.8935,,,
10,NormAnonDiff_S_alpha_2,MIA_MinK,-0.1833,0.6368,9,entropy,0.9822,0.9120,0.9786,,,
