model_id,Centroid_Norm_hp_forget,Centroid_Norm_hp_retain,Centroid_Norm_sw,Centroid_Norm_tofu,Global_Coherence_hp_forget,Global_Coherence_hp_retain,Global_Coherence_sw,Global_Coherence_tofu,Batch_SecondMoment_TopEig_hp_forget,Batch_SecondMoment_TopEig_hp_retain,Batch_SecondMoment_TopEig_sw,Batch_SecondMoment_TopEig_tofu,AUSS_L2_hp_forget,AUSS_L2_hp_retain,AUSS_L2_sw,AUSS_L2_tofu,AUSS_Cos2_hp_forget,AUSS_Cos2_hp_retain,AUSS_Cos2_sw,AUSS_Cos2_tofu,AUSS_Jac_hp_forget,AUSS_Jac_hp_retain,AUSS_Jac_sw,AUSS_Jac_tofu,Batch_Cov_Trace_hp_forget,Batch_Cov_Trace_hp_retain,Batch_Cov_Trace_sw,Batch_Cov_Trace_tofu,Batch_Cov_TopEig_hp_forget,Batch_Cov_TopEig_hp_retain,Batch_Cov_TopEig_sw,Batch_Cov_TopEig_tofu
Qwen/Qwen-14B-Chat,0.8039650122324625,0.8896090785662333,0.7426316142082214,0.6876102685928345,0.8039650321006775,0.8896091977755228,0.7426314155260721,0.6876103083292643,0.5715606013933817,0.8057497342427572,0.8474277059237162,0.3108580311139424,0.7801467776298523,0.4446517725785573,1.102542221546173,1.163818637530009,0.552963117758433,0.34980066617329914,0.3174468179543813,0.6956738829612732,0.7023453871926532,0.5178900821881496,0.6254442814343057,0.8245856910230197,0.3510660131772359,0.20843051373958588,0.4410169621308644,0.5237184762954712,0.2099169244368871,0.08967356880505879,0.2012955745061238,0.229846919576327
Qwen/Qwen-7B-Chat,0.7521441777547201,0.7701133688290914,0.6392829815546671,0.6390985051790873,0.7521441578865051,0.7701133886973063,0.6392829418182373,0.6390985051790873,0.5627053380012512,0.6693984468777975,0.704126238822937,0.2950076262156169,0.9519418676694236,0.8676537871360779,1.477242390314738,1.3089714050292969,0.5771247744560242,0.554731031258901,0.5515938798586527,0.6831973195075989,0.7819312279780344,0.6316058879079481,0.5348672660086308,0.8304623133106914,0.4283738334973653,0.40671272079149884,0.5908968846003214,0.5890371799468994,0.2840288778146108,0.09689170618851979,0.2171641488869985,0.3138253688812256
Qwen/Qwen2.5-14B-Instruct,0.6965744098027548,0.9171762863794962,0.937812308470408,0.6891013781229655,0.6965745687484741,0.9171762069066366,0.9378123879432678,0.6891016364097595,0.5804696281750997,0.8427239060401917,0.9531161983807882,0.3147144218285878,1.116015036900838,0.3387276927630107,0.2989877536892891,1.1502973039944966,0.5216324329376221,0.30345497528711957,0.1103483363986015,0.43973375360171,0.622219473276998,0.3316863060224801,0.2728735331977413,0.6753415283904426,0.5022068123022715,0.15877865254878998,0.1195951265593369,0.51763383547465,0.3883566459019978,0.03130546398460865,0.0513881208995978,0.371628850698471
Qwen/Qwen2.5-7B-Instruct,0.6838533878326416,0.9091804027557373,0.9090027809143066,0.6011117398738861,0.6838533878326416,0.9091806213061014,0.9090027610460916,0.6011118392149607,0.6075398723284403,0.8328986167907715,0.940770387649536,0.3359721899032593,1.150367538134257,0.3698927660783132,0.4290581047534942,1.4015669425328572,0.5012829204400381,0.32088706890741986,0.1376302937666575,0.4078358610471089,0.5978144177879123,0.5265443822615611,0.4273942662355712,0.6790272341124108,0.5176654160022736,0.1733872393767039,0.1716232498486836,0.6307052969932556,0.4040432870388031,0.033809720228115715,0.0808644083638985,0.4944601058959961
google/gemma-2b-it,0.9485666155815125,0.9531275629997253,0.9052549401919048,0.6386579871177673,0.9485665559768676,0.9531275431315104,0.9052549997965494,0.6386579871177673,0.595635453859965,0.9087467392285665,0.8198877374331156,0.4196253021558125,0.2227004220088323,0.19530144333839417,0.4511471589406331,1.3153975009918213,0.209291934967041,0.18477600316206613,0.3984997272491455,0.8351332743962606,0.5767127159070952,0.5408268430196074,0.6104381460467697,0.8485749197370215,0.1002151767412821,0.0915475736061732,0.1804588437080383,0.5919288595517477,0.0244013834744691,0.02051749328772227,0.0626247388621171,0.1828865259885788
google/gemma-7b-it,0.8823417822519938,0.9421229958534241,0.90648885567983,0.7732263207435608,0.8823417623837789,0.9421231349309286,0.906488835811615,0.7732265194257101,0.5470436811447144,0.887944241364797,0.8219642440478007,0.3925321102142334,0.4909057120482127,0.23979100088278452,0.4456628660360972,0.8908708492914835,0.4166476428508758,0.22405731678009033,0.3948650558789571,0.6082097887992859,0.5960231120916196,0.543385020428906,0.5786015721097933,0.8327939495132698,0.2209075540304184,0.11240201691786449,0.1782651394605636,0.4008918007214864,0.0978752349813779,0.022989900782704353,0.0606642936666806,0.158902958035469
meta-llama/Llama-2-13b-chat-hf,0.9028396010398864,0.9277868469556173,0.8974657853444418,0.5945519804954529,0.9028395215670268,0.9277868270874023,0.897465984026591,0.5945521791776022,0.4646196762720744,0.9147243897120158,0.8532866438229879,0.4395834108193715,0.4107759197552998,0.2968345085779826,0.4861610730489095,1.436630169550578,0.3632279535134633,0.1705354576309522,0.3234080870946248,0.8913818597793579,0.6949100717464191,0.5677081091215713,0.610160059949937,0.8610270386394081,0.1848490883906682,0.13914120197296143,0.1944644600152969,0.6464835206667582,0.0575812781850496,0.028789175674319267,0.0647328719496727,0.1804854472478231
meta-llama/Llama-2-7b-chat-hf,0.7998911738395691,0.936912457148234,0.9517706632614136,0.552746574083964,0.799891193707784,0.9369123578071594,0.9517706235249838,0.5527466932932535,0.5065222978591919,0.9775964021682739,0.985223094622294,0.2939719061056773,0.8001583218574524,0.2603874107201894,0.2281038677319884,1.5429009993871052,0.5489172339439392,0.04521324260470768,0.0357912251104911,0.7920079429944357,0.6620636589605251,0.19175865216880797,0.3379590960074316,0.8852135481474236,0.3600712716579437,0.12205672760804494,0.0912417650688439,0.6943054993947347,0.2241036643584569,0.032306638856728874,0.0443441774696111,0.3472089568773905
meta-llama/Meta-Llama-3-8B-Instruct,0.8997882207234701,0.9404091238975525,0.911061982313792,0.655195931593577,0.8997882604598999,0.9404091040293375,0.911061982313792,0.6551958123842875,0.5717207789421082,0.8847880562146505,0.9197748700777688,0.3169936041037242,0.4225605428218841,0.24665315449237823,0.4217534859975179,1.2675902446111045,0.3702865441640218,0.23004611333211264,0.1823206382493178,0.8255606293678284,0.6129520429876086,0.5189380484853187,0.5106634225438634,0.8018141157010269,0.1901523172855377,0.11561862876017888,0.1687013854583104,0.5704156359036764,0.0676550244291623,0.021848831325769424,0.0633538216352462,0.1727590014537175
