layer,metric,attack,rho,pval,n,family
0,Centroid_Norm,Steering,-0.1928571428571428,0.4910487016052232,15,auss
0,Centroid_Norm,ICL,0.5848118245468965,0.022030208511854242,15,auss
0,Centroid_Norm,GCG,0.3155043751720223,0.2520035227730589,15,auss
0,Centroid_Norm,MIA,0.07142857142857141,0.8002959873970544,15,auss
0,Centroid_Norm,MIA_MinK,0.6454545454545455,0.03196279932801745,11,auss
0,Centroid_Norm,MIA_Ref,0.18181818181818182,0.5926152128455,11,auss
0,Centroid_Norm,MIA_Hidden,-0.3454545454545455,0.2980892209030388,11,auss
0,Centroid_Norm,SPV_MIA,-0.11872269889407801,0.7280862602638447,11,auss
0,Global_Coherence,Steering,-0.1928571428571428,0.4910487016052232,15,auss
0,Global_Coherence,ICL,0.5848118245468965,0.022030208511854242,15,auss
0,Global_Coherence,GCG,0.3155043751720223,0.2520035227730589,15,auss
0,Global_Coherence,MIA,0.07142857142857141,0.8002959873970544,15,auss
0,Global_Coherence,MIA_MinK,0.6454545454545455,0.03196279932801745,11,auss
0,Global_Coherence,MIA_Ref,0.18181818181818182,0.5926152128455,11,auss
0,Global_Coherence,MIA_Hidden,-0.3454545454545455,0.2980892209030388,11,auss
0,Global_Coherence,SPV_MIA,-0.11872269889407801,0.7280862602638447,11,auss
0,Batch_SecondMoment_TopEig,Steering,-0.1928571428571428,0.4910487016052232,15,auss
0,Batch_SecondMoment_TopEig,ICL,0.5848118245468965,0.022030208511854242,15,auss
0,Batch_SecondMoment_TopEig,GCG,0.3155043751720223,0.2520035227730589,15,auss
0,Batch_SecondMoment_TopEig,MIA,0.07142857142857141,0.8002959873970544,15,auss
0,Batch_SecondMoment_TopEig,MIA_MinK,0.6454545454545455,0.03196279932801745,11,auss
0,Batch_SecondMoment_TopEig,MIA_Ref,0.18181818181818182,0.5926152128455,11,auss
0,Batch_SecondMoment_TopEig,MIA_Hidden,-0.3454545454545455,0.2980892209030388,11,auss
0,Batch_SecondMoment_TopEig,SPV_MIA,-0.11872269889407801,0.7280862602638447,11,auss
0,AUSS_L2,Steering,0.1928571428571428,0.4910487016052232,15,auss
0,AUSS_L2,ICL,-0.5848118245468965,0.022030208511854242,15,auss
0,AUSS_L2,GCG,-0.3155043751720223,0.2520035227730589,15,auss
0,AUSS_L2,MIA,-0.07142857142857141,0.8002959873970544,15,auss
0,AUSS_L2,MIA_MinK,-0.6454545454545455,0.03196279932801745,11,auss
0,AUSS_L2,MIA_Ref,-0.18181818181818182,0.5926152128455,11,auss
0,AUSS_L2,MIA_Hidden,0.3454545454545455,0.2980892209030388,11,auss
0,AUSS_L2,SPV_MIA,0.11872269889407801,0.7280862602638447,11,auss
0,AUSS_Cos2,Steering,0.1928571428571428,0.4910487016052232,15,auss
0,AUSS_Cos2,ICL,-0.5848118245468965,0.022030208511854242,15,auss
0,AUSS_Cos2,GCG,-0.3155043751720223,0.2520035227730589,15,auss
0,AUSS_Cos2,MIA,-0.07142857142857141,0.8002959873970544,15,auss
0,AUSS_Cos2,MIA_MinK,-0.6454545454545455,0.03196279932801745,11,auss
0,AUSS_Cos2,MIA_Ref,-0.18181818181818182,0.5926152128455,11,auss
0,AUSS_Cos2,MIA_Hidden,0.3454545454545455,0.2980892209030388,11,auss
0,AUSS_Cos2,SPV_MIA,0.11872269889407801,0.7280862602638447,11,auss
0,AUSS_Jac,Steering,-0.02150551448197962,0.9393613149587409,15,auss
0,AUSS_Jac,ICL,-0.5647640831249505,0.028268941042643575,15,auss
0,AUSS_Jac,GCG,-0.43267201741036765,0.10721471224994511,15,auss
0,AUSS_Jac,MIA,0.24372916412910237,0.38136899388944534,15,auss
0,AUSS_Jac,MIA_MinK,-0.07339758434175737,0.8301847435189387,11,auss
0,AUSS_Jac,MIA_Ref,-0.11927107455535572,0.7268716909393486,11,auss
0,AUSS_Jac,MIA_Hidden,-0.14679516868351475,0.6666844982807617,11,auss
