Model,Method,Concept,Forget ROUGE↓,Retain ROUGE↑,✓,Centroid_Norm↓,AUSS_L2↑,Steering AUC↓,Steering ASR↓,ICL Acc↓,GCG Acc↓,MIA AUC↓
Qwen2.5-7B-Instruct,Base,harry_potter,0.106,,False,0.872,0.534,0.433,0.373,0.040,0.000,0.982
Qwen2.5-7B-Instruct,GradAscent,harry_potter,0.000,,True,0.936,0.275,0.500,0.000,0.000,0.000,0.119
Qwen2.5-7B-Instruct,DPO,harry_potter,0.004,,True,0.884,0.484,0.730,0.194,0.000,0.000,0.861
Qwen2.5-7B-Instruct,NPO,harry_potter,0.198,,False,0.863,0.569,0.744,0.374,0.000,1.000,0.805
Qwen2.5-7B-Instruct,NPO+KL,harry_potter,0.350,,False,0.865,0.559,0.934,0.458,0.000,0.000,0.482
Qwen2.5-7B-Instruct,RMU,harry_potter,0.000,,True,0.961,0.169,,,,0.000,
Qwen2.5-7B-Instruct,WHP,harry_potter,0.258,,False,0.864,0.564,0.943,0.310,0.000,0.000,0.495
Qwen2.5-7B-Instruct,Base,star_wars,0.098,,False,0.866,0.557,0.482,0.261,0.080,0.000,0.982
Qwen2.5-7B-Instruct,GradAscent,star_wars,0.000,,True,0.901,0.417,0.500,0.000,0.000,0.000,0.461
Qwen2.5-7B-Instruct,DPO,star_wars,0.116,,False,0.834,0.676,0.677,0.343,0.000,1.000,0.965
Qwen2.5-7B-Instruct,NPO,star_wars,0.189,,False,0.846,0.632,0.782,0.324,0.000,0.000,0.871
Qwen2.5-7B-Instruct,NPO+KL,star_wars,0.167,,False,0.838,0.662,0.822,0.210,0.000,0.800,0.246
Qwen2.5-7B-Instruct,RMU,star_wars,0.093,,True,0.783,0.860,0.784,0.263,0.000,1.000,0.854
Qwen2.5-7B-Instruct,WHP,star_wars,0.172,,False,0.843,0.644,0.845,0.205,0.000,0.000,0.218
Qwen2.5-7B-Instruct,Base,william_shakespeare,0.080,,False,0.907,0.395,0.495,0.373,0.000,0.000,0.938
Qwen2.5-7B-Instruct,GradAscent,william_shakespeare,0.000,,True,0.934,0.284,0.500,0.000,0.000,0.200,0.185
Qwen2.5-7B-Instruct,DPO,william_shakespeare,0.020,,True,0.895,0.441,0.911,0.238,0.040,0.000,0.871
Qwen2.5-7B-Instruct,NPO,william_shakespeare,0.105,,False,0.913,0.370,0.706,0.433,0.040,1.000,0.770
Qwen2.5-7B-Instruct,NPO+KL,william_shakespeare,0.145,,False,0.908,0.390,0.874,0.449,0.000,0.000,0.218
Qwen2.5-7B-Instruct,RMU,william_shakespeare,0.082,,True,0.875,0.522,0.634,0.364,0.040,0.800,0.785
Qwen2.5-7B-Instruct,WHP,william_shakespeare,0.207,,False,0.900,0.423,0.881,0.405,0.040,0.000,0.245
