AUSS Metric,Steering AUC,Steering AUC_p,Steering ASR,Steering ASR_p,Steer retain-wf,Steer retain-wf_p,ICL Acc,ICL Acc_p,GCG Acc,GCG Acc_p,MIA AUC,MIA AUC_p,HP forget NLL,HP forget NLL_p,retain NLL,retain NLL_p,MIA MinK AUC,MIA MinK AUC_p,MIA Ref AUC,MIA Ref AUC_p,Rep Similarity AUC,Rep Similarity AUC_p,SPV-MIA AUC,SPV-MIA AUC_p
Centroid_Norm,ρ=0.17,0.39870811093163294,ρ=0.20,0.3254577983442577,ρ=0.08,0.6849204516157849,ρ=0.43*,0.028485918568866772,ρ=0.07,0.7100584833301656,ρ=0.01,0.9801609516255647,ρ=-0.07,0.731194023076702,ρ=-0.19,0.35143787088903955,ρ=-0.12,0.6597500431074229,ρ=-0.17,0.5102663098717943,ρ=-0.44,0.0799888724598653,ρ=-0.38,0.1422594749272973
Global_Coherence,ρ=0.17,0.39870811093163294,ρ=0.20,0.3254577983442577,ρ=0.08,0.6849204516157849,ρ=0.43*,0.028485918568866772,ρ=0.07,0.7100584833301656,ρ=0.01,0.9801609516255647,ρ=-0.07,0.731194023076702,ρ=-0.19,0.35143787088903955,ρ=-0.12,0.6597500431074229,ρ=-0.17,0.5102663098717943,ρ=-0.44,0.0799888724598653,ρ=-0.38,0.1422594749272973
Batch_SecondMoment_TopEig,ρ=0.26,0.20491320111928024,ρ=0.23,0.2687225610730298,ρ=0.16,0.43190025049298775,ρ=0.45*,0.02017175543506969,ρ=0.18,0.3808600070492333,ρ=-0.01,0.9444872935129642,ρ=-0.15,0.46428345473964194,ρ=-0.28,0.1595525518438448,ρ=-0.01,0.9553274855428822,ρ=-0.29,0.2644463470710114,ρ=-0.60*,0.010406870395559806,ρ=-0.28,0.28749391725370554
AUSS_L2,ρ=-0.17,0.39870811093163294,ρ=-0.20,0.3254577983442577,ρ=-0.08,0.6849204516157849,ρ=-0.43*,0.028485918568866772,ρ=-0.07,0.7100584833301656,ρ=-0.01,0.9801609516255647,ρ=0.07,0.731194023076702,ρ=0.19,0.35143787088903955,ρ=0.12,0.6597500431074229,ρ=0.17,0.5102663098717943,ρ=0.44,0.0799888724598653,ρ=0.38,0.1422594749272973
AUSS_Cos2,ρ=-0.22,0.27185774833653087,ρ=-0.16,0.44033696268797584,ρ=-0.11,0.5788288769278072,ρ=-0.43*,0.027886956290480023,ρ=-0.14,0.49147387838906964,ρ=0.07,0.7462167225181595,ρ=0.11,0.6075215129314938,ρ=0.25,0.2261116334044102,ρ=-0.01,0.9627675753886973,ρ=0.29,0.2602032490665047,ρ=0.63**,0.0070113456965958144,ρ=0.26,0.3255597361363304
AUSS_Jac,ρ=-0.22,0.28188897507312966,ρ=-0.19,0.35365018602625975,ρ=-0.21,0.31135364056169346,ρ=-0.16,0.4330341463734625,ρ=-0.07,0.7112606068805861,ρ=-0.12,0.5648669118238935,ρ=0.16,0.43593324205666106,ρ=0.15,0.46428345473964194,ρ=0.01,0.9627675753886973,ρ=0.36,0.15242989215413413,ρ=0.54*,0.02631190195230556,ρ=0.00,0.9870146620597275
Batch_Cov_Trace,ρ=-0.17,0.39870811093163294,ρ=-0.20,0.3254577983442577,ρ=-0.08,0.6849204516157849,ρ=-0.43*,0.028485918568866772,ρ=-0.07,0.7100584833301656,ρ=-0.01,0.9801609516255647,ρ=0.07,0.731194023076702,ρ=0.19,0.35143787088903955,ρ=0.12,0.6597500431074229,ρ=0.17,0.5102663098717943,ρ=0.44,0.0799888724598653,ρ=0.38,0.1422594749272973
Batch_Cov_TopEig,ρ=-0.47*,0.015390486553980998,ρ=-0.43*,0.029598704502062992,ρ=-0.26,0.20494334817154328,ρ=-0.48*,0.01281343136214956,ρ=-0.23,0.25150673853312777,ρ=-0.22,0.2736312357916464,ρ=0.33,0.09609990712790022,ρ=0.43*,0.026538923627745754,ρ=-0.19,0.45649692854875445,ρ=-0.06,0.808021077411703,ρ=0.14,0.586262862651232,ρ=0.10,0.7155730110390859
