model_id,model_short,method,concept,forget_rouge,retain_rouge,base_retain_rouge,qa_accuracy,Centroid_Norm,Global_Coherence,Batch_SecondMoment_TopEig,AUSS_L2,AUSS_Cos2,AUSS_Jac,Batch_Cov_Trace,Batch_Cov_TopEig,has_metrics,Reg_S_alpha_2,Reg_MeanCos,Reg_MeanL2,AnonDiff_S_alpha_2,AnonDiff_MeanL2,AnonDiff_MeanCos,attack_Steering,attack_ICL,attack_GCG,attack_MIA,attack_MIA_MinK,attack_MIA_Ref,attack_RepSimilarity,attack_SPV_MIA,attack_Steering_ASR,attack_Steering_retain_wf,mia_forget_nll,mia_retain_nll,has_attacks,verified
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,NPO+KL,william_shakespeare,0.0911,0.0000,0.0000,0.7500,0.9169,0.9169,0.8418,0.3538,0.3199,0.7207,0.1592,0.0392,True,0.9783,0.7113,0.1532,0.5915,0.0605,0.7065,0.8232,0.0400,1.0000,0.1616,0.6152,0.0000,0.9480,0.8448,0.2862,0.0597,2.3144,0.7933,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,RMU,harry_potter,0.1312,,,0.6500,0.8781,0.8781,0.7724,0.5089,0.4405,0.8049,0.2290,0.0504,True,0.9275,0.7094,46.0916,1.9915,13.4881,0.3431,0.7096,0.0000,1.0000,0.8056,,,,,0.2638,0.0752,1.5702,3.0227,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,RMU,star_wars,0.1432,,,0.4500,0.8755,0.8755,0.7673,0.5187,0.4487,0.7700,0.2334,0.0564,True,1.0161,0.6845,46.1430,2.2060,9.9442,0.2854,0.6936,0.0400,1.0000,0.9512,,,,,0.2999,0.1032,1.3370,3.1145,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,RMU,william_shakespeare,0.0995,,,0.6000,0.9084,0.9084,0.8259,0.3883,0.3485,0.7598,0.1747,0.0389,True,0.9829,0.7019,42.5295,1.8522,13.8417,0.4155,0.7536,0.0800,1.0000,0.7872,0.8688,0.5304,0.2616,0.8480,0.2673,0.0832,1.9552,3.1212,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,WHP,harry_potter,0.2553,,,0.6500,0.8583,0.8583,0.7391,0.5851,0.4942,0.8227,0.2633,0.0541,True,0.7549,0.7630,30.8969,2.3338,9.6273,0.3024,0.7560,-0.0400,0.0000,0.4424,0.5296,0.0000,0.9656,0.9488,0.2477,0.0476,1.7103,0.9229,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,WHP,star_wars,0.1747,,,0.5000,0.8557,0.8557,0.7327,0.5951,0.5052,0.8316,0.2678,0.0465,True,0.8825,0.7259,30.9469,2.5436,7.2578,0.2475,0.7080,0.0000,0.0000,0.2760,0.6056,0.0000,0.9544,0.8768,0.2693,0.0788,1.5162,0.7624,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,WHP,william_shakespeare,0.1351,,,0.5000,0.9172,0.9172,0.8423,0.3528,0.3191,0.7740,0.1588,0.0394,True,0.6617,0.7886,33.1713,1.6752,9.9006,0.4520,0.8256,0.0400,0.0000,0.1808,0.6224,0.0000,0.9296,0.8104,0.2812,0.0616,2.3164,0.8390,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Base,harry_potter,0.0618,,,0.7000,0.8559,0.8559,0.7385,0.5942,0.4929,0.5591,0.2674,0.0845,True,0.5296,0.8160,5.8618,2.2462,1.0245,0.3312,0.4232,0.0000,0.0000,0.9152,,,1.0000,,0.4372,,,,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Base,star_wars,0.1132,,,0.5500,0.8728,0.8728,0.7631,0.5293,0.4553,0.5784,0.2382,0.0505,True,0.6130,0.7982,15.6322,2.1316,2.0806,0.2820,0.4240,0.0400,0.0000,0.9872,,,1.0000,,0.3794,,,,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Base,william_shakespeare,0.0680,,,0.5500,0.9015,0.9015,0.8136,0.4160,0.3699,0.5243,0.1872,0.0476,True,0.6521,0.7896,9.2444,1.9108,1.8177,0.3967,0.4248,0.0400,0.0000,0.9520,,,1.0000,,0.3471,,,,True,False
