model_id,hp_qa,tofu_qa,AUSS_Cos2_hp,AUSS_Cos2_tofu,Batch_SecondMoment_TopEig_hp,Batch_SecondMoment_TopEig_tofu,AUSS_L2_hp,AUSS_L2_tofu,Batch_Cov_TopEig_hp,Batch_Cov_TopEig_tofu,Global_Coherence_hp,Global_Coherence_tofu,Batch_Cov_Trace_hp,Batch_Cov_Trace_tofu,AUSS_Jac_hp,AUSS_Jac_tofu,Centroid_Norm_hp,Centroid_Norm_tofu
Qwen/Qwen-14B-Chat,0.13541666666666666,0.0,0.552963117758433,0.6956738829612732,0.5715606013933817,0.31085803111394245,0.7801467776298523,1.163818637530009,0.20991692443688711,0.229846919576327,0.8039650321006775,0.6876103083292643,0.3510660131772359,0.5237184762954712,0.7023453871926532,0.8245856910230197,0.8039650122324625,0.6876102685928345
Qwen/Qwen-7B-Chat,0.07291666666666667,0.0,0.5771247744560242,0.6831973195075989,0.5627053380012512,0.2950076262156169,0.9519418676694235,1.3089714050292969,0.2840288778146108,0.3138253688812256,0.7521441578865051,0.6390985051790873,0.4283738334973653,0.5890371799468994,0.7819312279780344,0.8304623133106914,0.7521441777547201,0.6390985051790873
Qwen/Qwen2.5-14B-Instruct,0.3125,0.0,0.5216324329376221,0.43973375360171,0.5804696281750997,0.31471442182858783,1.1160150369008381,1.1502973039944966,0.38835664590199787,0.37162885069847107,0.6965745687484741,0.6891016364097595,0.5022068123022715,0.51763383547465,0.622219473276998,0.6753415283904426,0.6965744098027548,0.6891013781229655
Qwen/Qwen2.5-7B-Instruct,0.2916666666666667,0.0,0.5012829204400381,0.40783586104710895,0.6075398723284403,0.3359721899032593,1.150367538134257,1.4015669425328572,0.4040432870388031,0.4944601058959961,0.6838533878326416,0.6011118392149607,0.5176654160022736,0.6307052969932556,0.5978144177879123,0.6790272341124108,0.6838533878326416,0.6011117398738861
google/gemma-2b-it,0.041666666666666664,0.0,0.20929193496704102,0.8351332743962606,0.595635453859965,0.41962530215581256,0.2227004220088323,1.3153975009918213,0.024401383474469185,0.1828865259885788,0.9485665559768677,0.6386579871177673,0.10021517674128215,0.5919288595517477,0.5767127159070952,0.8485749197370215,0.9485666155815125,0.6386579871177673
google/gemma-7b-it,0.08333333333333333,0.0,0.41664764285087585,0.6082097887992859,0.5470436811447144,0.3925321102142334,0.4909057120482127,0.8908708492914835,0.09787523498137791,0.15890295803546906,0.8823417623837789,0.7732265194257101,0.2209075540304184,0.4008918007214864,0.5960231120916196,0.8327939495132698,0.8823417822519938,0.7732263207435608
meta-llama/Llama-2-13b-chat-hf,0.21875,0.0,0.3632279535134633,0.8913818597793579,0.4646196762720744,0.4395834108193715,0.41077591975529987,1.4366301695505779,0.05758127818504969,0.1804854472478231,0.9028395215670267,0.5945521791776022,0.18484908839066824,0.6464835206667582,0.6949100717464191,0.8610270386394081,0.9028396010398865,0.5945519804954529
meta-llama/Llama-2-7b-chat-hf,0.125,0.0,0.5489172339439392,0.7920079429944357,0.5065222978591919,0.2939719061056773,0.8001583218574524,1.5429009993871052,0.22410366435845694,0.34720895687739056,0.799891193707784,0.5527466932932535,0.3600712716579437,0.6943054993947347,0.6620636589605251,0.8852135481474236,0.7998911738395691,0.552746574083964
meta-llama/Meta-Llama-3-8B-Instruct,0.3125,0.0,0.3702865441640218,0.8255606293678284,0.5717207789421082,0.3169936041037242,0.42256054282188416,1.2675902446111043,0.06765502442916234,0.17275900145371756,0.8997882604598999,0.6551958123842875,0.19015231728553772,0.5704156359036764,0.6129520429876086,0.8018141157010269,0.8997882207234701,0.655195931593577
