model_id,sw_qa,Centroid_Norm_sw,Global_Coherence_sw,Batch_SecondMoment_TopEig_sw,AUSS_L2_sw,AUSS_Cos2_sw,AUSS_Jac_sw,Batch_Cov_Trace_sw,Batch_Cov_TopEig_sw
Qwen/Qwen-7B-Chat,,0.6392829815546671,0.6392829418182373,0.704126238822937,1.477242390314738,0.5515938798586527,0.5348672660086308,0.5908968846003214,0.2171641488869985
Qwen/Qwen-14B-Chat,,0.7426316142082214,0.7426314155260721,0.8474277059237162,1.102542221546173,0.3174468179543813,0.6254442814343057,0.44101696213086444,0.20129557450612387
Qwen/Qwen2.5-7B-Instruct,,0.9090027809143066,0.9090027610460917,0.9407703876495361,0.42905810475349426,0.1376302937666575,0.42739426623557125,0.17162324984868368,0.08086440836389859
Qwen/Qwen2.5-14B-Instruct,,0.9378123084704081,0.9378123879432678,0.9531161983807882,0.2989877536892891,0.11034833639860153,0.2728735331977413,0.11959512655933698,0.0513881208995978
google/gemma-2b-it,,0.9052549401919047,0.9052549997965494,0.8198877374331156,0.4511471589406331,0.3984997272491455,0.6104381460467697,0.18045884370803833,0.06262473886211713
google/gemma-7b-it,,0.90648885567983,0.906488835811615,0.8219642440478007,0.4456628660360972,0.3948650558789571,0.5786015721097933,0.17826513946056366,0.060664293666680656
meta-llama/Llama-2-7b-chat-hf,,0.9517706632614136,0.9517706235249838,0.9852230946222941,0.22810386773198843,0.03579122511049112,0.3379590960074316,0.09124176506884396,0.04434417746961117
meta-llama/Llama-2-13b-chat-hf,,0.8974657853444418,0.897465984026591,0.8532866438229879,0.4861610730489095,0.3234080870946248,0.610160059949937,0.19446446001529694,0.0647328719496727
meta-llama/Meta-Llama-3-8B-Instruct,,0.9110619823137919,0.9110619823137919,0.9197748700777689,0.4217534859975179,0.1823206382493178,0.5106634225438634,0.16870138545831045,0.06335382163524628
