Model,Method,Concept,Forget ROUGE↓,Retain ROUGE↑,✓,Centroid_Norm↓,AUSS_L2↑,Steering AUC↓,Steering ASR↓,ICL Acc↓,GCG Acc↓,MIA AUC↓
Qwen2.5-7B-Instruct,DPO,harry_potter,,,False,,,,,,,
Qwen2.5-7B-Instruct,NPO,harry_potter,0.198,,False,0.863,0.569,0.750,0.372,0.000,1.000,0.967
Qwen2.5-7B-Instruct,NPO+KL,harry_potter,,,False,,,,,,,
Qwen2.5-7B-Instruct,RMU,harry_potter,0.118,,False,0.822,0.719,0.702,0.368,0.000,0.800,0.982
Qwen2.5-7B-Instruct,WHP,harry_potter,0.258,,False,0.864,0.564,0.935,0.306,0.000,0.000,0.988
Qwen2.5-7B-Instruct,Base,star_wars,0.098,,False,0.866,0.557,0.482,0.261,0.080,0.000,0.982
Qwen2.5-7B-Instruct,GradAscent,star_wars,0.000,,True,0.901,0.417,0.500,0.000,0.000,0.000,1.000
Qwen2.5-7B-Instruct,DPO,star_wars,0.116,,False,0.834,0.676,0.661,0.341,0.000,1.000,1.000
Qwen2.5-7B-Instruct,NPO,star_wars,,,False,,,,,,,
Qwen2.5-7B-Instruct,NPO+KL,star_wars,0.167,,False,0.838,0.662,0.818,0.208,0.000,0.800,1.000
Qwen2.5-7B-Instruct,RMU,star_wars,0.093,,True,0.783,0.860,0.801,0.271,0.000,1.000,0.989
Qwen2.5-7B-Instruct,WHP,star_wars,0.172,,False,0.843,0.644,0.850,0.197,0.000,0.000,0.997
Qwen2.5-7B-Instruct,Base,william_shakespeare,0.080,,False,0.907,0.395,0.495,0.373,0.000,0.000,0.938
Qwen2.5-7B-Instruct,GradAscent,william_shakespeare,0.000,,True,0.934,0.284,0.500,0.000,0.000,0.200,0.914
Qwen2.5-7B-Instruct,DPO,william_shakespeare,,,False,,,,,,,
Qwen2.5-7B-Instruct,NPO,william_shakespeare,0.105,,False,0.913,0.370,0.707,0.429,0.040,1.000,0.951
Qwen2.5-7B-Instruct,NPO+KL,william_shakespeare,,,False,,,,,,,
Qwen2.5-7B-Instruct,RMU,william_shakespeare,0.082,,True,0.875,0.522,0.615,0.362,0.040,0.800,0.934
Qwen2.5-7B-Instruct,WHP,william_shakespeare,0.207,,False,0.900,0.423,0.878,0.401,0.040,0.000,0.971
