model_id,model_short,method,concept,forget_rouge,retain_rouge,base_retain_rouge,qa_accuracy,Centroid_Norm,Global_Coherence,Batch_SecondMoment_TopEig,AUSS_L2,AUSS_Cos2,AUSS_Jac,Batch_Cov_Trace,Batch_Cov_TopEig,has_metrics,Reg_S_alpha_2,Reg_MeanCos,Reg_MeanL2,AnonDiff_S_alpha_2,AnonDiff_MeanL2,AnonDiff_MeanCos,attack_Steering,attack_ICL,attack_GCG,attack_MIA,attack_Steering_ASR,attack_Steering_retain_wf,has_attacks,verified
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,RMU,william_shakespeare,0.0995,,,0.6000,0.9084,0.9084,0.8259,0.3883,0.3485,0.7598,0.1747,0.0389,True,0.9829,0.7019,42.5295,1.8522,13.8417,0.4155,0.7392,0.0800,1.0000,0.8392,0.2659,0.0802,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,WHP,harry_potter,0.2553,,,0.6500,0.8583,0.8583,0.7391,0.5851,0.4942,0.8227,0.2633,0.0541,True,0.7549,0.7630,30.8969,2.3338,9.6273,0.3024,0.7648,-0.0400,0.0000,0.9032,0.2441,0.0510,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,WHP,star_wars,0.1747,,,0.5000,0.8557,0.8557,0.7327,0.5951,0.5052,0.8316,0.2678,0.0465,True,0.8825,0.7259,30.9469,2.5436,7.2578,0.2475,0.7064,0.0000,0.0000,0.9784,0.2656,0.0800,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,WHP,william_shakespeare,0.1351,,,0.5000,0.9172,0.9172,0.8423,0.3528,0.3191,0.7740,0.1588,0.0394,True,0.6617,0.7886,33.1713,1.6752,9.9006,0.4520,0.8344,0.0400,0.0000,0.8968,0.2875,0.0607,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Base,harry_potter,0.0618,,,0.7000,0.8559,0.8559,0.7385,0.5942,0.4929,0.5591,0.2674,0.0845,True,0.5296,0.8160,5.8618,2.2462,1.0245,0.3312,0.4232,0.0000,0.0000,0.9152,0.4372,,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Base,star_wars,0.1132,,,0.5500,0.8728,0.8728,0.7631,0.5293,0.4553,0.5784,0.2382,0.0505,True,0.6130,0.7982,15.6322,2.1316,2.0806,0.2820,0.4240,0.0400,0.0000,0.9872,0.3794,,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Base,william_shakespeare,0.0680,,,0.5500,0.9015,0.9015,0.8136,0.4160,0.3699,0.5243,0.1872,0.0476,True,0.6521,0.7896,9.2444,1.9108,1.8177,0.3967,0.4248,0.0400,0.0000,0.9520,0.3471,,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,GradAscent,harry_potter,0.0000,0.0000,0.0000,0.0000,0.8582,0.8582,0.7554,0.5855,0.4454,0.6651,0.2635,0.1692,True,0.3803,0.8743,0.1411,0.9132,0.0305,0.5552,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,GradAscent,star_wars,0.0000,,,0.0000,0.9043,0.9043,0.8200,0.4050,0.3453,0.5884,0.1822,0.1279,True,0.0223,0.9924,26.1863,1.3550,0.5400,0.4268,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,GradAscent,william_shakespeare,0.0000,,,0.0000,0.8696,0.8696,0.7687,0.5418,0.4304,0.7806,0.2438,0.1458,True,0.0025,0.9991,152.4156,1.6651,2.7624,0.4285,0.5000,0.0000,0.0000,1.0000,0.0000,0.0000,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,DPO,harry_potter,,,,,,,,,,,,,False,,,,,,,,,,,,,False,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,DPO,star_wars,0.1055,,,0.3000,0.8062,0.8062,0.6555,0.7777,0.6097,0.6692,0.3500,0.1197,True,1.3069,0.6028,64.6692,2.2585,20.8816,0.2262,0.5656,-0.0800,0.0000,0.9912,0.1750,0.0925,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,DPO,william_shakespeare,,,,,,,,,,,,,False,,,,,,,,,,,,,False,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,NPO,harry_potter,0.1230,,,0.7000,0.8650,0.8650,0.7498,0.5594,0.4770,0.4333,0.2517,0.0588,True,0.9451,0.7085,7.6871,2.2319,1.5673,0.3098,0.9248,-0.0400,0.0000,0.9288,0.4702,0.0823,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,NPO,star_wars,,,,,,,,,,,,,False,,,,,,,,,,,,,False,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,NPO,william_shakespeare,0.0894,,,0.5000,0.9255,0.9255,0.8578,0.3188,0.2900,0.3667,0.1434,0.0399,True,0.6476,0.7851,5.7065,1.4484,0.9988,0.4880,0.7560,0.1200,0.0000,0.9256,0.3074,0.1226,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,NPO+KL,harry_potter,,,,,,,,,,,,,False,,,,,,,,,,,,,False,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,NPO+KL,star_wars,0.1507,,,0.5000,0.8410,0.8410,0.7079,0.6506,0.5430,0.5903,0.2928,0.0505,True,1.0624,0.6772,8.4634,2.6673,1.4824,0.2257,0.8496,-0.0800,0.0000,0.9936,0.3522,0.1007,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,NPO+KL,william_shakespeare,,,,,,,,,,,,,False,,,,,,,,,,,,,False,False
